,Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Goals,Away_Goals,Outcome,Home_Win,Home_Attack,Away_Attack,Home_Team_Outcome_sum_10,Away_Team_Outcome_sum_10
1221,Sparta Rotterdam,Groningen,1-1,https://www.besoccer.com/match/sparta-rotterdam/fc-groningen/2022,2022,9,eredivisie,64,69,1.0,1.0,0.0,0.0,0.6880733944954128,0.958904109589041,0.0,2.0
1222,Twente 1965,Willem II,1-1,https://www.besoccer.com/match/fc-twente-1965/willem-ii/2022,2022,9,eredivisie,67,70,1.0,1.0,0.0,0.0,0.967741935483871,1.2977528089887642,2.0,-1.0
1223,Ajaccio,Niort,0-0,https://www.besoccer.com/match/ajaccio/chamois-niortais/2022,2022,9,ligue_2,56,53,0.0,0.0,0.0,0.0,1.8083333333333333,0.6857142857142857,4.0,1.0
1224,Amiens SC,Pau FC,2-2,https://www.besoccer.com/match/amiens-sc/pau/2022,2022,9,ligue_2,54,50,2.0,2.0,0.0,0.0,0.525,0.6018518518518517,-3.0,0.0
1225,Auxerre,Rodez,1-0,https://www.besoccer.com/match/auxerre/rodez/2022,2022,9,ligue_2,56,47,1.0,0.0,1.0,1.0,2.0,1.3499999999999999,1.0,-1.0
1226,Caen,Dijon FCO,0-1,https://www.besoccer.com/match/caen/dijon-fco/2022,2022,9,ligue_2,59,55,0.0,1.0,-1.0,0.0,1.75,0.5846153846153845,0.0,3.0
1227,Dunkerque,Toulouse,0-2,https://www.besoccer.com/match/dunkerque/toulouse-fc/2022,2022,9,ligue_2,52,61,0.0,2.0,-1.0,0.0,0.5,2.2727272727272725,-2.0,-3.0
1228,Grenoble,Nancy,4-1,https://www.besoccer.com/match/grenoble-foot-38/nancy/2022,2022,9,ligue_2,52,59,4.0,1.0,1.0,1.0,0.9855072463768116,0.4589041095890411,1.0,2.0
1229,Guingamp,Sochaux,1-2,https://www.besoccer.com/match/guingamp/sochaux/2022,2022,9,ligue_2,59,58,1.0,2.0,-1.0,0.0,0.6792452830188679,1.1231884057971016,-1.0,-1.0
1230,Le Havre,Quevilly-Rouen,1-0,https://www.besoccer.com/match/havre-ac/quevilly/2022,2022,9,ligue_2,57,42,1.0,0.0,1.0,1.0,0.9859154929577465,1.361842105263158,0.0,-1.0
1231,Paris FC,NÃ®mes,2-0,https://www.besoccer.com/match/paris-sg/nimes-olympique/2022,2022,9,ligue_2,55,56,2.0,0.0,1.0,1.0,1.033898305084746,1.6081081081081083,0.0,-1.0
1232,Valenciennes,Bastia,2-1,https://www.besoccer.com/match/valenciennes-afc/bastia/2022,2022,9,ligue_2,56,41,2.0,1.0,1.0,1.0,0.4928571428571428,0.678082191780822,-3.0,2.0
1233,Mainz 05,FC Augsburg,4-1,https://www.besoccer.com/match/mainz-amat/fc-augsburg/2022,2022,9,bundesliga,73,72,4.0,1.0,1.0,1.0,0.668859649122807,0.2222222222222222,1.0,2.0
1234,Bayern MÃ¼nchen,Hoffenheim,4-0,https://www.besoccer.com/match/bayern-munchen/tsg-1899-hoffenheim/2022,2022,9,bundesliga,96,76,4.0,0.0,1.0,1.0,2.1565217391304348,1.5149253731343284,2.0,1.0
